Frame,BPM,BPM_filtre,BPM_interp
561,96.0,96.0,96.0
562,96.0,96.0,96.0
563,96.0,96.0,96.0
564,96.0,96.0,96.0
565,96.0,96.0,96.0
566,96.0,96.0,96.0
567,96.0,96.0,96.0
568,96.0,96.0,96.0
569,96.0,96.0,96.0
570,96.0,96.0,96.0
571,96.0,96.0,96.0
572,96.0,96.0,96.0
573,96.0,96.0,96.0
574,96.0,96.0,96.0
575,96.0,96.0,96.0
576,96.0,96.0,96.0
577,96.0,96.0,96.0
578,96.0,96.0,96.0
579,96.0,96.0,96.0
580,96.0,96.0,96.0
581,96.0,96.0,96.0
582,96.0,96.0,96.0
583,96.0,96.0,96.0
584,96.0,96.0,96.0
585,64.0,0.0,96.0
586,64.0,0.0,96.0
587,64.0,0.0,96.0
588,64.0,0.0,96.0
589,64.0,0.0,96.0
590,64.0,0.0,96.0
591,64.0,0.0,96.0
592,64.0,0.0,96.0
593,64.0,0.0,96.0
594,64.0,0.0,96.0
595,64.0,0.0,96.0
596,64.0,0.0,96.0
597,64.0,0.0,96.0
598,64.0,0.0,96.0
599,64.0,0.0,96.0
600,64.0,0.0,96.0
601,64.0,0.0,96.0
602,64.0,0.0,96.0
603,64.0,0.0,96.0
604,64.0,0.0,96.0
605,64.0,0.0,96.0
606,64.0,0.0,96.0
607,64.0,0.0,96.0
608,64.0,0.0,96.0
609,64.0,0.0,96.0
610,64.0,0.0,96.0
611,64.0,0.0,96.0
612,64.0,0.0,96.0
613,64.0,0.0,96.0
614,64.0,0.0,96.0
615,64.0,0.0,96.0
616,64.0,0.0,96.0
617,64.0,0.0,96.0
618,64.0,0.0,96.0
619,64.0,0.0,96.0
620,64.0,0.0,96.0
621,64.0,0.0,96.0
622,64.0,0.0,96.0
623,64.0,0.0,96.0
624,64.0,0.0,96.0
625,64.0,0.0,96.0
626,64.0,0.0,96.0
627,64.0,0.0,96.0
628,64.0,0.0,96.0
629,64.0,0.0,96.0
630,96.0,0.0,96.0
631,96.0,0.0,96.0
632,96.0,0.0,96.0
633,96.0,0.0,96.0
634,96.0,0.0,96.0
635,96.0,0.0,96.0
636,96.0,0.0,96.0
637,96.0,0.0,96.0
638,96.0,0.0,96.0
639,96.0,0.0,96.0
640,96.0,0.0,96.0
641,96.0,0.0,96.0
642,96.0,0.0,96.0
643,96.0,0.0,96.0
644,96.0,0.0,96.0
645,96.0,0.0,96.0
646,96.0,0.0,96.0
647,96.0,0.0,96.0
648,96.0,0.0,96.0
649,96.0,0.0,96.0
650,96.0,0.0,96.0
651,96.0,0.0,96.0
652,96.0,0.0,96.0
653,96.0,0.0,96.0
654,96.0,0.0,96.0
655,96.0,0.0,96.0
656,96.0,0.0,96.0
657,96.0,0.0,96.0
658,96.0,0.0,96.0
659,96.0,0.0,96.0
660,96.0,0.0,96.0
661,96.0,0.0,96.0
662,96.0,0.0,96.0
663,96.0,0.0,96.0
664,96.0,0.0,96.0
665,96.0,0.0,96.0
666,96.0,0.0,96.0
667,96.0,0.0,96.0
668,96.0,0.0,96.0
669,96.0,0.0,96.0
670,96.0,0.0,96.0
671,96.0,0.0,96.0
672,96.0,0.0,96.0
673,96.0,0.0,96.0
674,96.0,0.0,96.0
675,88.0,0.0,96.0
676,88.0,0.0,96.0
677,88.0,0.0,96.0
678,88.0,0.0,96.0
679,88.0,0.0,96.0
680,88.0,0.0,96.0
681,88.0,0.0,96.0
682,88.0,0.0,96.0
683,88.0,0.0,96.0
684,88.0,0.0,96.0
685,88.0,0.0,96.0
686,88.0,0.0,96.0
687,88.0,0.0,96.0
688,88.0,0.0,96.0
689,88.0,0.0,96.0
690,64.0,0.0,96.0
691,64.0,0.0,96.0
692,64.0,0.0,96.0
693,64.0,0.0,96.0
694,64.0,0.0,96.0
695,64.0,0.0,96.0
696,64.0,0.0,96.0
697,64.0,0.0,96.0
698,64.0,0.0,96.0
699,64.0,0.0,96.0
700,64.0,0.0,96.0
701,64.0,0.0,96.0
702,64.0,0.0,96.0
703,64.0,0.0,96.0
704,64.0,0.0,96.0
705,80.0,0.0,96.0
706,80.0,0.0,96.0
707,80.0,0.0,96.0
708,80.0,0.0,96.0
709,80.0,0.0,96.0
710,80.0,0.0,96.0
711,80.0,0.0,96.0
712,80.0,0.0,96.0
713,80.0,0.0,96.0
714,80.0,0.0,96.0
715,80.0,0.0,96.0
716,80.0,0.0,96.0
717,80.0,0.0,96.0
718,80.0,0.0,96.0
719,80.0,0.0,96.0
720,64.0,0.0,96.0
721,64.0,0.0,96.0
722,64.0,0.0,96.0
723,64.0,0.0,96.0
724,64.0,0.0,96.0
725,64.0,0.0,96.0
726,64.0,0.0,96.0
727,64.0,0.0,96.0
728,64.0,0.0,96.0
729,64.0,0.0,96.0
730,64.0,0.0,96.0
731,64.0,0.0,96.0
732,64.0,0.0,96.0
733,64.0,0.0,96.0
734,64.0,0.0,96.0
735,64.0,0.0,96.0
736,64.0,0.0,96.0
737,64.0,0.0,96.0
738,64.0,0.0,96.0
739,64.0,0.0,96.0
740,64.0,0.0,96.0
741,64.0,0.0,96.0
742,64.0,0.0,96.0
743,64.0,0.0,96.0
744,64.0,0.0,96.0
745,64.0,0.0,96.0
746,64.0,0.0,96.0
747,64.0,0.0,96.0
748,64.0,0.0,96.0
749,64.0,0.0,96.0
750,64.0,0.0,96.0
751,64.0,0.0,96.0
752,64.0,0.0,96.0
753,64.0,0.0,96.0
754,64.0,0.0,96.0
755,64.0,0.0,96.0
756,64.0,0.0,96.0
757,64.0,0.0,96.0
758,64.0,0.0,96.0
759,64.0,0.0,96.0
760,64.0,0.0,96.0
761,64.0,0.0,96.0
762,64.0,0.0,96.0
763,64.0,0.0,96.0
764,64.0,0.0,96.0
765,88.0,0.0,96.0
766,88.0,0.0,96.0
767,88.0,0.0,96.0
768,88.0,0.0,96.0
769,88.0,0.0,96.0
770,88.0,0.0,96.0
771,88.0,0.0,96.0
772,88.0,0.0,96.0
773,88.0,0.0,96.0
774,88.0,0.0,96.0
775,88.0,0.0,96.0
776,88.0,0.0,96.0
777,88.0,0.0,96.0
778,88.0,0.0,96.0
779,88.0,0.0,96.0
780,88.0,0.0,96.0
781,88.0,0.0,96.0
782,88.0,0.0,96.0
783,88.0,0.0,96.0
784,88.0,0.0,96.0
785,88.0,0.0,96.0
786,88.0,0.0,96.0
787,88.0,0.0,96.0
788,88.0,0.0,96.0
789,88.0,0.0,96.0
790,88.0,0.0,96.0
791,88.0,0.0,96.0
792,88.0,0.0,96.0
793,88.0,0.0,96.0
794,88.0,0.0,96.0
795,64.0,0.0,96.0
